3211,2019-03-27,391937,50.0,50.2,50.0,50.0
3211,2019-03-28,1048035,49.9,51.0,49.75,50.2
3211,2019-03-29,637611,50.7,51.1,50.5,50.7
3211,2019-04-01,576841,51.2,51.2,50.6,50.6
3211,2019-04-02,604718,51.0,51.0,50.5,50.9
3211,2019-04-03,1088228,51.1,51.6,51.0,51.2
3211,2019-04-08,747850,51.4,51.5,51.3,51.4
3211,2019-04-09,632389,51.6,51.6,51.0,51.2
3211,2019-04-10,1626886,51.2,52.4,50.9,52.0
3211,2019-04-11,946588,52.1,52.3,51.3,51.5
3211,2019-04-12,687574,51.5,51.5,50.7,50.8
3211,2019-04-15,490307,50.8,51.2,50.7,51.0
3211,2019-04-16,325055,51.2,51.4,50.9,51.2
3211,2019-04-17,798079,51.1,52.0,51.1,51.3
3211,2019-04-18,758320,51.6,51.6,50.5,50.7
3211,2019-04-19,458823,50.90,51.20,50.70,51.20
