代號,公司,資本額(億)
2115,六暉-KY,8.61
2201,裕隆,157.29
2204,中華,55.36
2206,三陽,85.36
2207,和泰車,54.62
2208,台船,47.3
2221,大甲,4.23
2227,裕日車,30.0
2228,劍麟,7.58
2230,泰茂,3.99
2231,為升,12.28
2233,宇隆,6.03
2235,謚源,3.59
2236,百達-KY,4.48
2239,英利-KY,11.8
2243,宏旭-KY,4.37
2301,光寶科,235.09
2302,麗正,16.63
2303,聯電,1172.43
2305,全友,20.57
2308,台達電,259.75
2312,金寶,145.21
2313,華通,119.18
2314,台揚,22.8
2316,楠梓電,20.3
2317,鴻海,1386.3
2321,東訊,14.87
2323,中環,115.89
2324,仁寶,440.71
2327,國巨,42.8
2328,廣宇,51.83
2329,華泰電,55.23
2330,台積電,2593.04
2331,精英,55.74
2332,友訊,65.2
2337,旺宏,184.0
2338,光罩,25.27
2340,光磊,37.86
2342,茂矽,15.63
2344,華邦電,398.0
2345,智邦,55.79
2347,聯強,166.79
2348,海悅,8.56
2349,錸德,128.42
2351,順德,18.21
2352,佳世達,196.68
2353,宏碁,307.49
2354,鴻準,141.45
2355,敬鵬,39.75
2356,英業達,358.75
2357,華碩,74.28
2358,廷鑫,7.96
2359,所羅門,17.15
2360,致茂,41.91
2362,藍天,66.98
2363,矽統,55.41
2364,倫飛,9.39
2365,昆盈,23.45
2367,燿華,61.94
2368,金像,54.65
2369,菱生,38.01
2371,大同,233.95
2373,震旦行,23.62
2374,佳能,28.24
2375,智寶,19.41
2376,技嘉,63.57
2377,微星,84.49
2379,瑞昱,50.81
2380,虹光,16.24
2382,廣達,386.26
2383,台光電,31.97
2385,群光,73.45
2387,精元,19.63
2388,威盛,49.33
2390,云辰,21.4
2392,正崴,51.23
2393,億光,44.31
2395,研華,69.91
2397,友通,11.47
2399,映泰,17.81
2401,凌陽,59.2
2402,毅嘉,30.75
2404,漢唐,19.06
2405,浩鑫,34.34
2406,國碩,33.91
2408,南亞科,307.26
2409,友達,962.42
2412,中華電,775.74
2413,環科,12.74
2414,精技,16.17
2415,錩新,8.0
