代號,公司,資本額(億)
6005,群益證,232.09
6015,宏遠證,38.0
6016,康和證,62.37
6020,大展證,25.24
6021,大慶證,30.68
6023,元大期,23.23
6024,群益期,17.64
6026,福邦證,24.37
6101,弘捷,7.98
6103,合邦,5.71
6104,創惟,9.06
6108,競國,15.99
6109,亞元,5.74
6111,大宇資,4.93
6112,聚碩,12.24
6113,亞矽,5.0
6114,翔昇,4.39
6115,鎰勝,18.77
6116,彩晶,313.39
6117,迎廣,8.87
6118,建達,9.09
6120,達運,66.56
6121,新普,18.5
6122,擎邦,6.87
6123,上奇,5.9
6124,業強,18.25
6125,廣運,24.9
6126,信音,13.59
6127,九豪,10.81
6128,上福,12.76
6129,普誠,18.09
6130,基因,2.73
6131,悠克,10.19
6133,金橋,11.7
6134,萬旭,9.43
6136,富爾特,11.55
6138,茂達,7.31
6139,亞翔,22.55
6140,訊達,3.84
6141,柏承,13.0
6142,友勁,26.82
6143,振曜,8.3
6144,得利,7.31
6146,耕興,9.24
6147,頎邦,65.43
6148,驊宏資,4.7
6150,撼訊,3.33
6151,晉倫,5.53
6152,百一,16.77
6153,嘉聯益,41.37
6154,順發,8.01
6155,鈞寶,8.67
6156,松上,8.13
6158,禾昌,5.27
6160,欣技,6.85
6161,捷波,8.32
6163,華電網,12.29
6164,華興,10.0
6165,捷泰,4.97
6166,凌華,21.75
6167,久正,16.22
6168,宏齊,20.61
6169,昱泉,2.34
6170,統振,8.97
6171,亞銳士,7.54
6172,互億,3.0
6173,信昌電,17.2
6174,安碁,5.0
6175,立敦,13.64
6176,瑞儀,46.5
6177,達麗,25.69
6179,亞通,7.41
6180,橘子,17.55
6182,合晶,51.09
6183,關貿,15.0
6184,大豐電,15.82
6185,幃翔,14.99
6186,新潤,10.0
6187,萬潤,8.33
6188,廣明,27.84
6189,豐藝,17.9
6190,萬泰科,14.04
6191,精成,51.55
6192,巨路,10.68
6194,育富,6.0
6195,詩肯,4.61
6196,帆宣,18.58
6197,佳必琪,12.21
6198,凌泰,2.01
6199,精威,6.18
6201,亞弘電,8.92
6202,盛群,22.62
6203,海韻電,8.0
6204,艾華,2.31
6205,詮欣,7.18
6206,飛捷,14.31
6207,雷科,8.4
6208,日揚,9.9
6209,今國,16.31
6210,慶生,3.5
6212,理銘,10.2
6213,聯茂,30.3
6214,精誠,26.94
6215,和椿,8.28
6216,居易,8.43
6217,中探針,6.42
6218,豪勉,6.43
6219,富旺,15.4
6220,岳豐,12.46
6221,晉泰,4.49
6222,上揚,4.88
6223,旺矽,7.99
6224,聚鼎,8.0
6225,天瀚,5.05
6226,光鼎,11.5
6227,茂綸,7.61
6228,全譜,2.8
6229,研通,3.61
6230,超眾,8.63
6231,系微,3.8
6233,旺玖,8.24
6234,高僑,9.29
6235,華孚,16.83
6236,康呈生,3.17
6237,驊訊,7.91
6238,勝麗,5.74
6239,力成,77.91
6240,松崗,2.31
6241,易通展,2.37
6242,立康,2.22
6243,迅杰,7.5
6244,茂迪,54.05
6245,立端,11.8
6246,臺龍,3.08
6247,淇譽電,6.03
6248,沛波,3.07
6251,定穎,28.11
6257,矽格,41.57
6259,百徽,11.13
6261,久元,12.85
6263,普萊德,6.25
6264,富裔,11.64
6265,方土昶,11.82
6266,泰詠,9.89
6269,台郡,32.41
6270,倍微,7.21
6271,同欣電,16.54
6274,台燿,25.58
6275,元山,6.98
6276,名鐘,3.25
6277,宏正,11.95
6278,台表科,29.24
6279,胡連,9.72
6281,全國電,9.92
6282,康舒,51.66
6283,淳安,13.41
6284,佳邦,14.76
6285,啟碁,39.03
6287,元隆,43.81
6288,聯嘉,17.11
6289,華上,26.93
6290,良維,14.3
6291,沛亨,2.7
6292,迅德,4.69
6294,智基,2.34
6404,通訊-KY,3.74
6405,悅城,6.58
6409,旭隼,8.33
6411,晶焱,7.94
6412,群電,38.67
6414,樺漢,8.36
6415,矽力-KY,9.07
6416,瑞祺電通,6.8
6417,韋僑,3.56
6418,詠昇,3.45
6419,京晨科,2.78
6425,易發,4.25
6426,統新,3.35
6431,光麗-KY,4.56
6432,今展科,2.2
6435,大中,3.31
6438,迅得,5.78
6441,廣錠,3.08
6442,光聖,6.93
6443,元晶,37.9
6446,藥華藥,21.94
6449,鈺邦,8.44
6451,訊芯-KY,10.54
6452,康友-KY,7.8
6456,GIS-KY,33.94
6457,紘康,2.92
6461,益得,8.05
6462,神盾,7.12
6464,台數科,12.28
6465,威潤,3.3
6469,大樹,4.17
6470,宇智,3.27
6472,保瑞,3.9
6477,安集,9.45
6482,弘煜科,1.71
6485,點序,3.94
6486,互動,3.69
6488,環球晶,43.73
6491,晶碩,7.0
6492,生華科,7.45
6494,九齊,3.16
6496,科懋,4.67
6497,亞獅康-KY,16.02
6499,益安,6.65
6504,南六,7.26
6505,台塑化,952.6
6506,雙邦,8.24
6508,惠光,8.48
6509,聚和,17.61
6510,精測,3.28
6512,啟發電,2.5
6514,芮特-KY,3.0
6516,勤崴國際,3.51
6523,達爾膚,4.5
6525,捷敏-KY,12.9
6530,創威,3.38
6531,愛普,7.38
6532,瑞耘,3.16
6533,晶心科,4.27
6535,順藥,11.75
6538,倉和,3.03
6541,泰福-KY,24.4
6542,隆中,4.2
6547,高端疫苗,15.6
6548,長華科,36413.1
6552,易華電,10.0
6556,勝品,2.88
6558,興能高,8.67
6560,欣普羅,1.75
6561,是方,6.93
6568,宏觀,2.51
6569,醫揚,2.2
6570,維田,2.71
6573,虹揚-KY,6.75
6574,霈方,2.2
6576,逸達,10.03
6577,勁豐,3.83
6578,達邦蛋白,2.92
6579,研揚,14.85
6581,鋼聯,11.13
6582,申豐,10.49
6589,台康生技,16.95
6590,普鴻,1.82
6591,動力-KY,2.62
6593,台灣銘板,2.02
6594,展匯科,2.07
6596,寬宏藝術,2.78
6603,富強鑫,14.73
6605,帝寶,16.58
6609,瀧澤,7.25
6612,奈米醫材,3.37
6613,朋億,3.39
6615,慧智,2.12
6616,特昇-KY,2.36
6624,萬年清,1.8
6625,必應,3.73
6629,泰金-KY,3.35
6640,均華,2.83
6641,基士德-KY,3.4
6642,富致,3.14
6643,M31,3.13
6649,台生材,3.3
6654,天正國際,3.31
6655,科定,7.56
6662,樂斯科,2.56
6666,羅麗芬-KY,4.74
6667,信紘科,3.49
6668,中揚光,6.84
6669,緯穎,17.45
6670,復盛應用,13.1
6671,三能-KY,6.08
6672,騰輝電子-KY,7.07
6674,鋐寶科技,6.68
6679,鈺太,4.13
6680,鑫創電子,1.75
6683,雍智科技,2.71
6803,崑鼎,6.71
7402,邑錡,2.28
8011,台通,11.86
8016,矽創,12.02
8021,尖點,14.22
8024,佑華微,4.52
8027,鈦昇,8.15
8028,昇陽半導體,13.24
8032,光菱,5.18
8033,雷虎,10.94
8034,榮群,6.29
8038,長園科,5.98
8039,台虹,20.91
8040,九暘,6.7
8042,金山電,12.2
8043,蜜望實,7.99
8044,網家,11.72
8046,南電,64.62
8047,星雲,4.17
8048,德勝,5.33
8049,晶采,11.83
8050,廣積,17.65
8054,安國,7.52
8059,凱碩,8.61
8064,東捷,16.48
8066,來思達,3.02
8067,志旭,3.0
8068,全達,6.87
8069,元太,114.05
8070,長華,6.39
8071,能率網通,5.19
8072,陞泰,8.0
8074,鉅橡,8.64
8076,伍豐,25.92
8077,洛碁,10.97
8080,奧斯特,6.6
8081,致新,8.62
8083,瑞穎,3.51
8084,巨虹,6.71
8085,福華,15.73
8086,宏捷科,14.47
8087,華鎂鑫,2.99
8088,品安,6.09
8091,翔名,4.47
8092,建暐,3.89
8093,保銳,6.42
8096,擎亞,13.96
8097,常珵,2.67
8099,大世科,7.06
8101,華冠,20.81
8103,瀚荃,8.14
8104,錸寶,6.76
8105,凌巨,44.15
8107,大億金茂,7.5
8109,博大,7.26
8110,華東,50.64
8111,立碁,11.41
8112,至上,37.85
8114,振樺電,7.49
8121,越峰,18.3
8131,福懋科,44.22
8147,正淩,3.03
8150,南茂,72.72
8155,博智,4.98
8163,達方,28.0
8171,天宇,5.07
8176,智捷,7.25
8182,加高,10.7
8183,精星,12.13
8201,無敵,6.24
8210,勤誠,11.97
8213,志超,27.12
8215,明基材,32.07
8222,寶一,6.85
8234,新漢,14.12
8240,華宏,10.0
8249,菱光,12.71
8255,朋程,9.09
8261,富鼎,8.13
8271,宇瞻,10.09
8277,商丞,9.16
8279,生展,2.71
8287,英格爾,14.56
8289,泰藝電,6.83
8291,尚茂,7.6
8299,群聯,19.71
8341,日友,11.15
8342,益張,3.35
8349,恒耀,11.64
8354,冠郝,7.85
8358,金居,25.26
8367,建新國際,8.11
8374,羅昇,8.92
8383,千附,11.82
8390,金益鼎,9.64
8401,白紗科,6.27
8403,盛弘,10.23
8404,百和興業-KY,31.52
8406,金可-KY,9.25
8409,商之器,2.8
8410,森田,3.66
8411,福貞-KY,17.54
8415,大國鋼,103.15
8416,實威,2.82
8418,捷必勝-KY,7.6
8420,明揚,5.1
8421,旭源,5.48
8422,可寧衛,10.89
8423,保綠-KY,2.21
8424,惠普,3.61
8426,紅木-KY,5.02
8427,基勝-KY,10.43
8429,金麗-KY,18.57
8431,匯鑽科,4.45
8432,東生華,3.84
8433,弘帆,5.26
8435,鉅邁,3.17
8436,大江,11.87
8437,大地-KY,4.79
8440,綠電,3.8
8442,威宏-KY,5.0
8443,阿瘦,6.68
8444,綠河-KY,7.38
8446,華研,5.29
8450,霹靂,5.13
8454,富邦媒,14.01
8455,大拓-KY,2.52
8462,柏文,6.82
8463,潤泰材,15.0
8464,億豐,29.3
8466,美吉吉-KY,6.61
8467,波力-KY,4.95
8472,夠麻吉,1.83
8473,山林水,13.48
8476,台境,4.05
8477,創業家,2.5
8478,東哥遊艇,9.09
8480,泰昇-KY,3.93
8481,政伸,6.66
8482,商億-KY,11.11
8488,吉源-KY,6.75
8489,三貝德,3.78
8497,聯廣,3.65
8499,鼎炫-KY,5.13
8905,裕國,11.94
8906,花王,3.4
8908,欣雄,18.03
8913,全銓,6.93
8916,光隆,12.3
8917,欣泰,12.22
8921,沈氏,4.66
8923,時報,3.04
8924,大田,8.38
8926,台汽電,58.9
8927,北基,19.18
8928,鉅明,5.09
8929,富堡,5.06
8930,青鋼,7.96
8931,大汽電,12.23
8932,宏大,4.88
8933,愛地雅,22.04
8934,衡平,0.85
8935,邦泰,8.43
8936,國統,24.92
8937,合騏,7.25
8938,明安,13.53
8940,新天地,6.75
8941,關中,2.51
8942,森鉅,16.58
8996,高力,8.94
9103,美德醫,0.1
910322,康師傅,0.26
9105,泰金寶,8.39
911608,明輝,0.0
911616,杜康,1.3
911622,泰聚亨,0.3
9136,巨騰-DR,1.32
9802,鈺齊-KY,16.22
9902,台火,9.8
9904,寶成,294.68
9905,大華金,30.5
9906,欣巴巴,8.33
9907,統一實,157.91
9908,大台北,51.64
9910,豐泰,73.47
9911,櫻花,22.11
9912,偉聯,5.44
9914,美利達,29.9
9917,中興保,45.12
9918,欣天然,18.05
9919,康那香,19.54
9921,巨大,37.51
9924,福興,18.85
9925,新保,38.37
9926,新海瓦,17.95
9927,泰銘,20.91
9928,中視,15.07
9929,秋雨,9.58
9930,中聯資,24.85
9931,欣高,10.23
9933,中鼎,76.33
9934,成霖,35.67
9935,慶豐富,16.96
9937,全國油,30.9
9938,百和,29.8
9939,宏全,29.29
9940,信義,73.68
9941,裕融,30.21
9942,茂順,8.32
9943,好樂迪,14.73
9944,新麗,10.91
9945,潤泰新,100.33
9946,三發,30.08
9949,琉園,4.7
9950,萬國通,14.77
9951,皇田,7.49
9955,佳龍,10.32
9958,世紀鋼,20.93
9960,邁達康,3.36
9962,有益,9.02
